ID,EnterDate,Position,EnterPrice,EnterSignal,ExitDate,ExitPrice,ExitSignal
71,2018-12-27,Long,3854.6885,Semi-Long,2018-12-28,3653.1318,Semi-Short
72,2018-12-29,Long,3932.4917,Semi-Long,2018-12-30,3822.3848,Semi-Short
73,2018-12-31,Long,3866.8391,Semi-Long,2019-01-01,3746.7134,Semi-Short
74,2019-01-02,Long,3849.2163,Semi-Long,2019-01-03,3931.0486,Semi-Short
75,2019-01-04,Long,3832.0400,Semi-Long,2019-01-05,3851.9739,Semi-Short
76,2019-01-06,Long,3836.5190,Semi-Long,2019-01-07,4078.5850,Semi-Short
77,2019-01-08,Long,4028.4722,Semi-Long,2019-01-09,4031.5520,Semi-Short
78,2019-01-10,Long,4034.4114,Semi-Long,2019-01-11,3674.0154,Semi-Short
79,2019-01-12,Long,3686.9731,Semi-Long,2019-01-13,3658.8682,Semi-Short
80,2019-01-14,Long,3557.3110,Semi-Long,2019-01-15,3704.2163,Semi-Short
81,2019-01-16,Short,3631.5098,Short,2019-01-17,3651.8711,Semi-Long
82,2019-01-18,Long,3677.9905,Semi-Long,2019-01-19,3652.3779,Semi-Short
83,2019-01-20,Long,3725.4460,Semi-Long,2019-01-21,3600.3728,Semi-Short
84,2019-01-22,Long,3575.0813,Semi-Long,2019-01-23,3605.5571,Semi-Short
85,2019-01-24,Long,3584.5002,Semi-Long,2019-01-25,3607.3904,Semi-Short
86,2019-01-26,Long,3599.7153,Semi-Long,2019-01-27,3604.6873,Semi-Short
87,2019-01-28,Long,3584.2832,Semi-Long,2019-01-29,3468.8701,Semi-Short
88,2019-01-30,Long,3443.8970,Semi-Long,2019-01-31,3485.4092,Semi-Short
89,2019-02-01,Long,3460.5471,Semi-Long,2019-02-02,3484.6260,Semi-Short
90,2019-02-03,Long,3516.1396,Semi-Long,2019-02-04,3467.2117,Semi-Short
91,2019-02-05,Long,3454.9509,Semi-Long,2019-02-06,3469.0918,Semi-Short
92,2019-02-07,Long,3414.9294,Semi-Long,2019-02-08,3401.3765,Semi-Short
93,2019-02-09,Long,3671.5859,Semi-Long,2019-02-10,3673.2014,Semi-Short
94,2019-02-11,Long,3695.6130,Semi-Long,2019-02-12,3642.7520,Semi-Short
95,2019-02-13,Long,3653.6040,Semi-Long,2019-02-14,3631.1702,Semi-Short
96,2019-02-15,Long,3617.3684,Long,2019-02-16,3615.2703,Semi-Short
97,2019-02-17,Long,3633.3594,Semi-Long,2019-02-18,3671.3699,Semi-Short
